name,mail,password,authority
admin,admin@master.com,password,0
admin1,admintest1@mastertest1.com,master111,0
admin2,admintest2@mastertest2.com,master222,0
admin3,admintest3@mastertest3.com,master333,0
admin4,admintest4@mastertest4.com,master444,0
admin5,admintest5@mastertest5.com,master555,0
spcs1,spcstest1@spcstest1.com,spcs1a2,1
spcs2,spcstest2@spcstest2.com,spcs3b4,1
spcs3,spcstest3@spcstest3.com,spcs5c6,1
spcs4,spcstest4@spcstest4.com,spcs7d8,1
spcs5,spcstest5@spcstest5.com,spcs9e0,1
kawata,ktq2390312@stu.o-hara.ac.jp,ktq225,2
user1,usertest001@test1.com,qwe1122,2
user2,usertest002@test2.com,asd3344,2
user3,usertest003@test3.com,zxc5566,2
user4,usertest004@test4.com,rty7788,2
user5,usertest005@test5.com,fgh9900,2
user6,usertest006@test6.com,wawawa111,2
user7,usertest007@test7.com,qaqaqa222,2
user8,usertest008@test8.com,sasasa333,2
user9,usertest009@test9.com,dadada444,2
user10,usertest0010@test10.com,eaeaea555,2
user11,usertest0011@test11.com,rarara666,2
user12,usertest0012@test12.com,tatata777,2
user13,usertest0013@test13.com,zazaza888,2
user14,usertest0014@test14.com,xaxaxa999,2
user15,usertest0015@test15.com,cacaca101010,2
user16,usertest0016@test16.com,vavava111111,2
user17,usertest0017@test17.com,fafafa121212,2
user18,usertest0018@test18.com,gagaga131313,2
user19,usertest0019@test19.com,bababa141414,2
user20,usertest0020@test20.com,nanana151515,2
user21,sunshine21@randommail.com,T7xL3pQo,2
user22,greenfox22@mailpro.com,X2ePrf89,2
user23,starline23@fastmail.com,Y9rAfGt7,2
user24,midnight24@randommail.com,F5qNpWo4,2
user25,oceanview25@securemail.com,Z7dTwLu8,2
user26,bright26@protonmail.com,J3eLrNz2,2
user27,freedom27@mailservice.com,W8tGkQp5,2
user28,dreamer28@quickmail.com,L2fMrAo9,2
user29,silver29@openmail.com,K4dPqFx7,2
user30,goldenday30@mailhub.com,R8vLfNp3,2
user31,bluebird31@fastmail.net,H6pQrVz2,2
user32,starlight32@randommail.com,V3wNtMx8,2
user33,riverstone33@mailhub.com,Q5lGfWx9,2
user34,redsky34@mailpro.com,N9tQpFx3,2
user35,blackwave35@openmail.com,P2eLkMz4,2
user36,purplemoon36@mailservice.com,K6fPrNy7,2
user37,orangefire37@securemail.com,M3wNpGz5,2
user38,whitecloud38@protonmail.com,L4dTrNz9,2
user39,yellowstar39@randommail.com,O9tQfLp2,2
user40,greenforest40@quickmail.com,T7xLfMz4,2
user41,autumnlight41@openmail.com,J8tGkWz7,2
user42,wintercharm42@mailpro.com,H2rPfVx9,2
user43,snowfall43@securemail.com,V3dQrNz8,2
user44,springbreeze44@fastmail.com,K4wNpFx5,2
user45,summershine45@mailhub.com,L8tPrVz2,2
user46,nightowl46@randommail.com,P9rWkGx3,2
user47,sunflower47@quickmail.com,M7fNrQz8,2
user48,risingstar48@protonmail.com,T5xLfNz9,2
user49,eveningglow49@mailservice.com,Q2dPrGz4,2
user50,morningdew50@fastmail.com,F9rLkWz3,2
user51,brightcloud51@mailpro.com,L6pQfNz4,2
user52,rainbow52@securemail.com,K3rPfWx5,2
user53,softbreeze53@randommail.com,M8tGkVz6,2
user54,sunnywave54@mailhub.com,N7xLfWz7,2
user55,mistymoon55@fastmail.com,P2dQrNz8,2
user56,dreamlight56@quickmail.com,F3wNtFx9,2
user57,silverwind57@protonmail.com,T9vLkWz4,2
user58,oceanbreeze58@mailservice.com,X2eGfVz3,2
user59,twilightsky59@randommail.com,Z7tPfFx5,2
user60,brightmorning60@securemail.com,L8rWkNz6,2
user61,goldenhour61@fastmail.com,R2tPrVz7,2
user62,shiningstar62@mailpro.com,H9wLfGz8,2
user63,dancinglight63@quickmail.com,T3xQrNz9,2
user64,forestwind64@mailhub.com,F4vPfWx5,2
user65,eveninglight65@randommail.com,M7dQrGz3,2
user66,sparklingwave66@securemail.com,X9pWfNz6,2
user67,starlit67@protonmail.com,V3lGfVz2,2
user68,autumnsky68@mailservice.com,K8wNrFx8,2
user69,rainydream69@fastmail.com,P9rLfNz3,2
user70,brightnight70@mailpro.com,Z6tPrFx5,2
user71,summerwind71@randommail.com,F3vQrNz9,2
user72,blueocean72@quickmail.com,T9dPfWx4,2
user73,sunshinehour73@mailhub.com,L7xGfVz6,2
user74,moonriver74@securemail.com,M5tNrFx8,2
user75,dawnlight75@protonmail.com,K9rLfNz2,2
user76,twilightrain76@mailpro.com,J4vWfNz5,2
user77,eveningbreeze77@randommail.com,N2tQrFx7,2
user78,greenforest78@quickmail.com,T8wLfVz3,2
user79,silvercloud79@mailhub.com,F6rNrGz8,2
user80,sunnymorning80@securemail.com,V7pPfNz4,2
user81,dreamynight81@protonmail.com,H3tWfVz9,2
user82,autumnchill82@mailpro.com,K5lQrFx7,2
user83,brightstar83@randommail.com,L8rNrNz5,2
user84,peacefuldawn84@securemail.com,M6xPfVz2,2
user85,shiningday85@mailhub.com,P4tLfGz3,2
user86,moonshine86@fastmail.com,Z3wPrNz9,2
user87,starlightwalk87@mailpro.com,N9pPfVz6,2
user88,sunsetview88@randommail.com,H7xQrNz4,2
user89,rainyday89@securemail.com,F6vWfNz3,2
user90,eveningstar90@quickmail.com,T5lGfVz7,2
user91,brightcloud91@mailhub.com,K4rNrGz5,2
user92,sunbeam92@mailpro.com,L8tPrVz9,2
user93,forestpath93@fastmail.com,M9wLfNz4,2
user94,twilight94@randommail.com,F2pWfNz6,2
user95,rainbowroad95@mailservice.com,K6xQrGz8,2
user96,eveningglow96@securemail.com,T7rPfNz2,2
user97,dreamcatcher97@mailhub.com,L9wLfFx3,2
user98,oceanwave98@fastmail.net,H8tPrNz7,2
user99,starlitpath99@randommail.com,F3xQrVz4,2
user100,morningglow100@securemail.com,T5rWfNz8,2
user101,autumnlight101@mailpro.com,K7pLfNz6,2
